Course Name,Course Description
Real Estate Technology,"""This 0.5 credit course focuses on interaction between technological changes and real estate, both how the use of real estate is affected by technological change, and the ways technology is used in the creation and operation of real estate.  The class will be structured around case studies on specific companies or technologies that are changing the landscape of real estate. Specific topics will include disruption of traditional office and retail space, , AI in real estate, technology in real estate development, the emergence of clean energy, and how technology is disrupting real estate finance.  A list of prominent guest speakers will be featured supplementing these broad topics with current practitioner viewpoints.  A final project will consist of student teams analyzing an existing real estate technology."""
Social Innovation: Designing for Change,"""This experiential lab course combines classroom learning with hands-on consultative projects for social impact organizations, allowing students to apply management learnings and analytical expertise to the real challenges that leadership teams face as they operate and scale social impact endeavors within markets. Students interested in consulting, social innovation and leadership, and social finance will benefit from this class. Student teams will work on a real-life project with a company, nonprofit, or public entity. For the fall of 2022, projects will include a range of engagements focused on market analysis, financial innovation and products, go-to-market strategy, and product development. Deliverables will be robust, analytical, and professional-grade. Students will have the opportunity to express preferences among all potential projects.."""
Board Governance of Nonprofit Organizations (Board Fellows),"""The Board Fellows program is designed to prepare students for nonprofit board service and civic leadership through a combination of academic coursework, nonprofit board service, and fellowship. The depth of this experiential learning opportunity is unique among business schools. Its purpose is to arm you with foundational knowledge that will further your understanding of how nonprofits are governed, accelerate the impact of your board service, and ultimately prepare you to become a more effective, socially conscious, and civically engaged leader after graduation.\r\n\r\nStudents must apply in the Fall of their first year to become a Board Fellow. Once selected, they will be automatically enrolled in the two required courses: SSIM 453-5 in the first year, SSIM 471 in the second year.\r\n\r\nIn SSIM 453-5, students become fluent with the terminology, procedures, and basic operations of nonprofits and board governance.  They study the role of a nonprofit board, the responsibilities of a board member, the critical elements of a high-functioning nonprofit, and how to contribute effectively in nonprofit board meetings. During these five weeks, each fellow is matched with a nonprofit partner. The fellow will serve on the board of their nonprofit for the following 15 months. Along the way, each fellow receives 1:1 coaching from the Professor."""
Board Governance of Nonprofit Organizations (Zero Credit),""""""
Board Governance of Non-Profit Organizations,"""This five week course is designed to provide students with an understanding of how nonprofit and social impact organizations are governed.  It will appeal to students who are likely to engage in board service or to lead a nonprofit or social impact organization.  The goal is to help students understand the workings of nonprofit organizations; the roles and responsibilities of boards; and how boards operate.  It will focus on the unique aspects of nonprofit/social impact board governance and what comprises an effective board.  The course also addresses how organizations and boards move through various stages of growth and development and how nonprofit boards differ from corporate/public boards and where similarities exist in structure, operations and responsibilities.  The course will be developed through readings, lectures, cases, discussions and guest speakers.  The course will include an individual assignment and two case analyses that can be done individually or as a group. There is no in-class final."""
Advanced Board Governance,"""\u003cp\u003e\u003cfont color=\""red\""\u003e\u003cstrong\u003e Students will earn .5 credits in Fall, .5 credits in Spring and receive a grade at the end of Spring Quarter.\u003c/strong\u003e\u003c/font\u003e\u003c/p\u003eThe Board Fellows program is designed to prepare students for nonprofit board service and civic leadership through a combination of academic coursework, nonprofit board service, and fellowship. The depth of this experiential learning opportunity is unique among business schools. Its purpose is to arm you with foundational knowledge that will further your understanding of how nonprofits are governed, accelerate the impact of your board service, and ultimately prepare you to become a more effective, socially conscious, and civically engaged leader after graduation.\r\n\r\nStudents must apply in the Fall of their first year to become a Board Fellow. Once selected, they will be automatically enrolled in the two required courses: SSIM 453-5 in the first year, SSIM 471 in the second year.\r\n\r\nIn SSIM 471, students dive deeper into topics introduced the previous year, learning from guest speakers and from each other as they offer their own experiences of board service. Topics include diversity, equity, and inclusion, finding your voice in the boardroom, dashboards and performance measurement, differences between nonprofit and corporate board service, and boards after business school. This course meets for a total of ten weeks, split evenly between the Fall quarter and the Spring quarter. This course is a complement to your ex officio board service. You will add value to class discussions by bringing in examples from your board experience, and you will add value to your board by contributing examples from your classroom experience.\r\n \r\nKey deliverables include a project or projects of substance for your nonprofit partner, a final paper, attendance at board meetings, and three 1:1 check-ins with the Professor."""
Advanced Board Governance (Zero Credit),""""""
Field Study,""""""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Independent Study,"""Students who have established superior records and who wish to study more in-depth than what is provided in regular courses may register for independent study with a selected instructor. Permission of both the instructor and the department is required."""
Independent Study,"""Independent Study"""
Sustainability Across The Enterprise,"""This course integrates business objectives with the principles and practices of environmental sustainability, in the context of a \""live\"" sustainability project with a client organization. Throughout the quarter, teams of 3-5 students work on projects with an enterprise that has requested Kellogg\u0027s help in addressing an issue related to sustainability. Each team works on its project throughout the quarter with the guidance of the faculty advisor and the client sponsor and presents the result to the client management in the end. The work and meeting schedule of each team is agreed with the faculty advisor and does not need to be during scheduled class time. The course also includes a small lecture based component that provides a crash course of sustainability management topics relevant to the projects. The class is suitable for students who want to pursue a career in sustainability, and for those who are interested in exposure to sustainability aspects of any business. No background in sustainability is needed. Enrollment is by application for specific projects. This course may not be dropped once the student has been matched with a project or sponsor."""
Medical Technologies in Global Public Health,"""\u003cp\u003e\u003cfont color=\""red\""\u003e\u003cstrong\u003eStudents who enroll in SSIM 673-5 in Winter Quarter will automatically be enrolled in SSIM 673-5 in Spring Quarter. Students will earn one credit (.5 in Winter and .5 in Spring) and receive a grade at the end of Spring Quarter. The class meets during the final five weeks of Winter Quarter and the first five weeks of Spring Quarter.\u003c/strong\u003e\u003c/font\u003e\u003c/p\u003e\r\n\r\n\u003cp\u003eThe Medical Technologies in Global Public Health course provides students the unique opportunity to inform the design and launch of medical technologies for developing countries by conducting market research. The students\u0027 findings will be shared with the developers of the medical technologies, including Northwestern University and several companies and philanthropists.\u003c/p\u003e\r\n\r\n\u003cp\u003ePrior market research trips have taken place in India, Kenya, Mozambique, Tanzania, Uganda, Malawi and Zambia, each with a focus on medical technologies such as HIV tests, tuberculosis tests, and neonatal devices for small and sick newborns. This class typically requires a two week market research trip to an African country during Spring Break. Due to the COVID-19 global pandemic, a decision will be made in December on whether or not the course will be physically traveling to a country in Africa. The course will still take place even if the decisions is that it is not safe or reasonable to travel. Instead, students will be assigned to an Experiential Learning Project providing opportunity for virtual collaboration with partners across multiple African countries. This is the new normal for global health, at least for now.\u003c/p\u003e \r\n\r\n\u003cp\u003eStudents will spend the second five weeks of Winter Quarter in the classroom learning the science of HIV/AIDS, tuberculosis, and other high-burden diseases; the background on medical technologies under development; and the essentials for conducting medical product market research in these geographies. Through interactive case studies and prominent guest lecturers, students will gain a holistic understanding and a broad overview of global health. During this time, students will also begin working with product developers from countries across Africa to better understand their products, needs and challenges.\u003c/p\u003e\r\n\r\n\u003cp\u003eFollowing this initial coursework, students will spend the next five weeks during the Spring Quarter conducting user interviews both virtually and locally to understand how the medical technologies are perceived by key stakeholders in the market, including: end-users at hospitals and clinics, government officials, and NGOs and distributors. These results will then be analyzed to synthesize key findings and provide recommendations to the developers of these medical technologies.\u003c/p\u003e\r\n\r\n\u003cp\u003e\u003cstrong\u003e**Admittance to this course is by application only.**\u003c/strong\u003e\u003cbr /\u003e\r\nYour accepted application for this class will also ensure that you will be enrolled in SSIM-673-5 in Spring Quarter. \u003cp\u003e\u003cstrong\u003eThis course may not be dropped once the student has been matched with a project or sponsor.\u003c/strong\u003e\u003c/p\u003e\r\n\r\nMore information about the application and due dates can be found \u003ca href=\""https://www.kellogg.northwestern.edu/serial/academics/course-information/experiential-learning-courses-labs.aspx\""\u003ehere\u003c/a\u003e"""
Corporate Social Innovation,"""\u003cp\u003eMeasures of business success have changed as the expectations of consumers, investors and employees shift beyond such basic key performance indicators of free cash flows, revenue growth rates, and inventory turnover. Today\u0027s businesses are also assessed on their  contributions to address many of today\u0027s most pressing social ills, such as climate change, economic disparity, and structural discrimination.\u003c/p\u003e\r\n \r\n\u003cp\u003eWilliam W. Towns, Ph.D., MBA founding Executive Director of Benefit Chicago will teach this course about purpose within and across the enterprise. This course will examine how companies are responding to this challenge through the use of Corporate Social Responsibility (CSR) strategies. You will gain an understanding of CSR\u0027s key concepts and its continued evolution, learn how to create organizational shared value through a Corporate Social Innovation framework, explore specific examples of successful CSR strategy implementation, and come away better equipped to identify innovative CSR opportunities and approaches.\u003c/p\u003e"""
Health and Human Rights,"""The course examines the intersection of health, development, and international human rights. Readings and discussion will focus on whether there is a universal right to health; access to essential medicines; the health implications of war crimes and atrocities; and the meaning of rights and access in resource-poor settings such as refugee camps and fragile states. Special attention will be paid to the role of corporate social responsibility and advanced economies in access to health. Students will work in interdisciplinary groups on a health assessment and intervention known as the Access to Health Project. Headed by Professor Sorensen, the Access to Health Project seeks to leverage academic partnerships to maximize access to health in communities in the developing world. Specifically, this class will participate in a community-based needs assessment to identify a sustainable, capacity-building intervention in collaboration with a public health NGO in Kenya. The needs assessment will reflect human rights, public health and sustainability considerations. In lieu of an exam, student teams will prepare a final written report detailing their findings and recommendations.\r\n\r\n\u003cp\u003e\u003cfont color=\""red\""\u003e\u003cstrong\u003eStudents who enroll in SSIM 933-0 in Winter Quarter will automatically be enrolled in SSIM 933-25 in Spring Quarter. Students will earn 1.25 credits (1.0 in Winter and .25 in Spring) and receive a grade at the end of Spring Quarter. The class meets during the Winter Quarter and has a final deliverable during Spring Quarter\u003c/strong\u003e\u003c/font\u003e\u003c/p\u003e."""
Health and Human Rights (Spring Quarter),""""""
Managing Sustainability Transformations,"""This course is centrally concerned with to create companies that contribute to sustainability while generating economic value in competitive markets. It is based on three premises: First, that sustainability for most companies is no longer just a matter of compliance or social responsibility but is becoming a material imperative for the future viability of the business. This is because sustainability-related natural resource dynamics, regulatory changes, shifts in consumer and investor preferences, and technological innovation are driving disruptive change and transformations in many industries, including energy, mobility, real estate, food and financial services. The second premise is that \u0027real\u0027 sustainability is still difficult and that standard ways of approaching business decisions fall short on delivering effective solutions to issues like climate change or environmental justice. While win-win-win scenarios between economic prosperity, environmental quality, and social equity do exist, they are neither easy to recognize nor easy to execute, unless we integrate sustainability into management and decision processes. The third and last premise is that the key challenge for most companies is executing a strategy for changing their processes, products and business models while maintaining a high level of financial performance. For example, how should a CPG company achieve carbon neutrality targets and eliminate plastic waste? What are entrepreneurial opportunities in plant based meat substitution? How can an airline or property developer decarbonize their business? The course introduces a set of advanced practices and frameworks for holistically integrating sustainability into business decisions. This means on the one hand, learning the fundamental principles of sustainability and how they relate to economic value creation, identifying drivers and impediments for making sustainability material to value creation, and charting different pathways for effective sustainability transformations. It means on the other hand learning to use key tools for assessing in a systematic way the environmental and social impacts of existing business models. The course provides a thorough foundation for students that seek to specialize in sustainability in their work, and for students that need a holistic overview that allows them to integrate sustainability in a non-specialist role. The pedagogical format combines the introduction of conceptual frameworks, experiential exercises, case analyses and guest speakers."""
Early Stage Impact Investing,"""More and more entrepreneurs are launching businesses that reflect their values, and early stage impact investors plays a critical role in funding these innovative companies. In this course, students will gain practical, hands-on experience evaluating the impact and business potential of startup companies, from sourcing deals through investment recommendations.  During the course, student will work in teams to analyze and perform initial due diligence on an early stage impact investment opportunity.  Students will present their recommendation to a panel of judges as their final project for the class. This course, in contrast to Kellogg\u0027s FINC 946 which focuses on institutional impact investing, will focus on direct investing in early stage impact companies through a venture capital lens."""
Decision-Making for Sustainable Business,"""The role of business in society is changing with increasing expectations that business will deliver value not just to shareholders, but also to multiple other stakeholders, whilst taking care of and respecting the environment.  Corporate management and reporting systems are now required to keep pace with these changing expectations, and corporate Boards need the tools and frameworks to make decisions that take these competing demands in to account. This 5-week course will explore the challenges the C-Suite and the Board Room face in meeting sustainable business expectations and introduce the emerging tools and frameworks available to enable them to manage and report their progress in the 21st century. Through lectures, case studies and simulated situations, students will learn practical tools and frameworks used by business to understand their role in society, how they measure and report impact, how they align their strategy with government policy (through the Sustainable Development Goals) and how to formulate a business case for transformational and sustainable practices."""
Social Impact Analytics,"""Social impact investments and corporate social responsibility outreach are often well intentioned, but their returns to the investor or targeted group may be variable, particularly in international contexts. This course develops an understanding of quantitative methods to measure social impact motivated by the particular challenges inherent in quantifying impact in a socio-economic setting.  We will use previous studies to better understand what works and why, but also how impact was measured across different types of social investments."""
Strategic Leadership in the Nonprofit Sector,"""Nonprofit and Non-Governmental organizations strive to meet the most complex challenges of our time. Today, the sector is being profoundly impacted by the challenges of COVID 19, a global economic recession, as well as growing calls for diversity, equity and inclusion in the US and beyond. Leaders must use all of the management and leadership tools available to them to create strong vision and strategy, partner with volunteer directors, oversee diverse financial streams, and focus on growth and innovation to effectively create social impact in the short term and into the future. \r\n\r\nKellogg graduates will find themselves engaged in the social impact sector in a variety of ways -- senior professional staff members, board members, volunteers and donors. This course will help students better understand the skills and talents that are necessary to effectively lead nonprofits or NGOs regardless of their role. This course will engage students in case discussion and group dialogue, along with conversations with alumni and seasoned practitioners in the social impact space. Students will be exposed to theory along with practical examples of leadership and strategy all designed to illustrate successful business practices contributing to increased social impact and steps towards solutions of global issues. Designed for students with some level of experience in the nonprofit sector, this experiential course will enable future founders, CEOs/C-suite leaders and board members to better understand and practice the leadership skills necessary to make an impact in the nonprofit/NGO world."""
Organization of Non-Profit Initiatives,"""The course is focused on the essential elements required to organize and maintain a non-profit enterprise. It will further address the legal and compliance requirements of forming and operating a non-profit, including but not limited to, maintaining its tax-exempt status, addressing risk management issues, evaluating mergers and alliances,  and compliance with fiduciary duties of officers, directors and senior staff. The course will utilize lectures, class discussion, case-book readings, and a group project. A final examination will count towards 50% of the final grade and a group project will constitute the remaining 50% of the final grade. KPPI- 952-5 compliments, but does not duplicate, other courses in the non-profit and social impact curriculum."""
The Business of Social Change,"""This course is designed to provide students with the skills and knowledge to influence and lead social impact in business and impact contexts. By the conclusion of this course, each student should have a strong foundation in social impact and social change, including approaches to funding impact, scaling programs and interventions, public- private partnerships, corporate engagement, impact investment decision-making, blended capital, and approaches to intentional impact. The course will pivot around on a singular social issue through which to learn and test social impact frameworks and concepts. The issue of teens and young adults who are neither working nor in school provides a nice foil for our learning. Once students have gained a mastery of perspectives and methodologies necessary to consider and address a social issue from the ground up, they will next learn to identify and utilize effective measures of outputs and progress, and explore the core levers and potentials to change outcomes for people, communities and market systems. This class utilizes a digital, gamified exercise crafted specifically for this course. The case, $50 Million for Change, requires students to step into the role of a player in the impact funding mix in a fictional city and state."""
Effective Philanthropy,"""This course offers a unique opportunity for students to practice effective philanthropy with real charitable dollars at stake. The class will blend both the abstract (reading and analyzing what constitutes evidence of impact as well as research on specific interventions or programs) and the applied (estimating the impact of a specific nonprofit given real constraints on available data). \r\n\r\nIn addition to working directly with nonprofit clients to conduct \""impact audits,\"" students will as a class decide how to allocate $25,000 in donations to the charity or charities of their choice. This course is relevant for MBA students who may go on to lead nonprofits or foundations, as well as those who donate to charities in the future. Students will gain the knowledge and skills to become effective philanthropists and nonprofit leaders."""
Venture Equity,"""\u003cp\u003eBusinesses founded and led by underrepresented and minority leaders are critically important components of our economy. According to the Minority Business Development Agency at the U.S. Department of Commerce, these firms employed more than 7 million people and generated more than $1.4 trillion in combined gross receipts in 2016. These businesses and their growth serve a critical role in the economic stability of many of our communities and families that have faced generational and structural inequities. As more corporations and investors look to deploy capital for investment in minority owned businesses, it will be critical for both the target companies and investment firms to have the strategic guidance and frameworks to increase their capacity to access and develop capital respectfully.\u003c/p\u003e\r\n\r\n\u003cp\u003eOver the course of this class, students, faculty, and client companies will focus in on the following central questions: (1) How can investors shift the ways in which they evaluate the opportunity and risk inherent to investment in underrepresented founders and their business in order to find and support opportunities that are currently being overlooked?; (2) How can underrepresented founders better understand how investment prospects are evaluated in order to present their strongest case to potential investors and access capital for growth and scale?\u003c/p\u003e\r\n\r\n\u003cp\u003eThis class will provide students with an understanding of the heuristics - shortcuts - often relied on by investors as they seek to determine their interest in, and the value of ventures presented to them. Students will further learn frameworks and approaches that both investors and clients can use to identify and manage for these heuristics when they risk derailing an underrepresented founder\u0027s venture from measured consideration. Students will gain and master new approaches and perspectives on the inherent value and valuation of new and scaling businesses. Using a strengths-based framing and approach, students will learn techniques to value opportunities in investing in underrepresented founders, going beyond the heuristics we\u0027ve explored.\u003c/p\u003e\r\n\r\n\u003cb\u003eCorequisite:\u003c/b\u003e FINC-430 or equivalent\r\n\u003cp\u003e\u003cb\u003eRecommended prerequisite courses:\u003c/b\u003e FINC-445 Entrepreneurial Finance and Venture Capital; MORS 952-5 Entrepreneurship: Building Innovation, Teams, and Cultures; ENTR-470 Launching and Leading Startups; ENTR 615 Growth Strategy Practicum;\u003c/p\u003e"""
Business Strategy,"""Strategy is the set of objectives, policies and resource commitments that collectively determine how a business positions itself to create wealth for its owners. This course introduces students to principles and conceptual frameworks for evaluating and formulating business strategy. Topics include the boundaries of the firm, the analysis of industry economics, strategic positioning and competitive advantage, and the role of resources and capabilities in shaping and sustaining competitive advantages."""
People Analytics and Strategy,"""Hiring, developing, and retaining the right employees is crucial for success in modern firms. Big data is transforming how companies manage talent. This course will teach you how to combine economic frameworks and data analytics to make better-informed decisions on personnel strategy. The course is organized around the \""life-cycle\"" of an employee at a company, starting from hiring, then training, compensation, promotions, benefits, diversity and discrimination, and retention. Each week, we will discuss one stage of this process, using a case discussion to highlight the tradeoffs that companies face, followed by a related data application in the next class. For example, we will use analytics in class to predict the potential of applicants to improve hiring decisions or we will use experimental designs to evaluate the effectiveness of training programs. This class is designed for MBA students who aspire to start, lead, and build businesses; this is not a course for those interested in careers as administrators of human resource management systems. The deliverables consist of in-class case discussions, as well as several individual and group homework assignments and a final take-home exam."""
Intellectual Capital Management,"""This course addresses the strategic question \""How do innovators own and leverage what they build?\"" The topic is important for professionals who seek to build a difference that makes a difference in the marketplace. The course follows a \""lifecycle\"" approach to the management of ideas and intellectual capital covering the creation and codification of the asset in the form of property (IP), valuation, and leveraging of same into markets for growth. Case studies examine health care, education, software/artificial intelligence, media, food/agriculture, entertainment, finance, consumer durables and other contexts.  The \""open innovation\"" option is considered in each context. Guest speakers and case studies include traditionally underrepresented minority founders/executive/inventors/innovators and why/how they practice inclusivity to grow their businesses. There is an individual take home case study (midterm) and group final project."""
Healthcare Strategy,"""\u003cp\u003eThis course delves into the strategic issues faced by healthcare firms. We will use concepts from the core strategy course (STRT-431) as an organizing framework, and discuss where and why the healthcare sector deviates from the norm. For example, what is the role of competitive positioning when quality is so difficult to measure?  How can you remain profitable if you compete against not-for-profits who don\u0027t face taxes?\u003c/p\u003e\r\n\u003cp\u003eBecause a great deal of healthcare strategy relies on understanding the nitty-gritty of particular industries, we will spend time learning about several of these, including health insurance, hospitals, pharmaceuticals, and medical devices.  Although our focus is on private firms in the U.S., we will (of necessity) be discussing the role of the government in regulating and providing healthcare, and (time permitting) discuss some international issues. This is a lecture and case-based discussion course with group projects and a final exam.\u003c/p\u003e"""
Healthcare Strategy - Deep Dive,"""\u003cp\u003e\u003cb\u003eHealthcare Deep Dive Students\u003c/b\u003ePlease note that students cannot be enrolled in classes that overlap time. If you are accepted into a Deep Dive course, you will need to drop any conflicting course secured through the bidding process or otherwise.  This applies to all time conflicts, even if the time conflict only occurs on 1 or 2 occasions. \u003c/p\u003e"""
Healthcare Strategy,""""""
Healthcare Economics,"""This course examines the application of economic concepts to management problems and policy issues of the health sector. Topics covered include measuring the benefits of healthcare, the role of insurance in spreading risk and altering incentives, the production of healthcare, price and non-price competition among providers, and proposed policies that are intended to contain costs."""
Family Enterprises: Issues and Solutions,"""The course is intended for those from business-owning families, whether they plan to work in the business or not. Topics range from succession and family dynamics to continuity planning and strategic performance. The course is also appropriate for those who have family foundations, family investment companies, or family offices. The class involves case discussions, guest speakers, field and research assignments, and presentations of new ideas in family enterprises."""
Strategy and Organization,"""This course focuses on the link between organizational structure and strategy, making use of the microeconomic tools taught in MECN-430. The core question is how firms should be organized to achieve their performance objectives. The first part of the course takes the firm\u0027s activities as given and studies the problem of organizational design; topics may include incentive pay, decentralization, transfer pricing, behavioral biases, and complementarities. The second part examines the determinants of a firm\u0027s boundaries and may cover such topics as outsourcing, horizontal mergers, and strategic commitment. Course deliverables include an-in person final exam."""
The Economics of Energy Markets and the Environment,"""TThis course is about the economics of energy markets. Energy industries are particularly strongly driven by fundamental economic forces, which means that strategy setting and decision making in energy (and energy-facing) industries relies on having a good understanding of how energy markets work. While the course will cover various energy industries, the main emphasis will be on microeconomic tools of analysis that are useful across multiple industries. Topics include the drivers of supply and demand in competitive energy markets, including the roles of storage and transportation; market power and antitrust concerns; and the rationale for economic and environmental regulations. Class time will be a mix of lecture and discussions. The lectures will present formal microeconomic models of energy markets and describe relevant energy market institutions. Class discussion will focus on using the economic models presented in class to understand current events in various energy industries. Students should expect daily reading assignments of 6-10 popular press articles that will form the basis of class discussion. The course deliverables include regular homework assignments and a final exam."""
International Business Strategy,"""\u003cB\u003eThis course was formerly known as MGMT 460\u003c/B\u003e\u003cBR\u003eThis course considers the objectives and strategies of international business in the context of global competition. It equips managers with a comprehensive framework to formulate strategies in the global marketplace. While accessible to students who have not yet taken Microeconomic Analysis, this course emphasizes economic analysis of the forces driving international business. The course covers competitive advantage, competitive strategies, alternative modes of market entry, including import and export through intermediaries, contracting with suppliers and distributors, and foreign direct investment (FDI). Case studies are used throughout to illustrate the basic principles of multinational business management and strategy."""
FinTech Strategy,"""Financial Technology (FinTech) firms are changing the type, frequency, and the way we use financial services. FinTech innovations have a great capacity to transform the financial system because many of these innovations are at a deeper level than traditional financial innovation. Blockchain, for example, can speed up clearing while keeping it secure, as opposed to an introduction of a new type of security which only changes small features of an existing product. FinTech companies attract a lot of VC money. Many of these initiatives, however, will likely turn out to be not sustainable. This course \u003cstrong\u003ebuilds upon your existing courses and frameworks\u003c/strong\u003e to provide the tools necessary for crafting successful strategies for fintechs to compete with traditional financial institutions (TFIs) as well as for TFIs to compete with fintechs. The course is aimed at students who anticipate working at financial services firms (whether fintechs or traditionals), students who anticipate investing in firms in financial technology markets and must analyze firm strategy, and those interested in entrepreneurship in general. Discussion questions, group project, and final exam."""
Technology and Innovation Strategy,"""This course develops approaches to analyzing strategies within technology markets. It teaches students how to analyze technology markets, where firm structure, product cycles and competitive environment change rapidly. The course offers tools to analyzing both entrepreneurial and corporate innovation strategy. These issues are illustrated through general readings and with cases from computing, electronics, online, communication, and transportation markets. The course strikes a balance between presenting a few general models of market behavior and presenting a few key episodes of market behavior. It is aimed at three types of students: those who anticipate taking management positions in technology-intensive firms where they must formulate strategy, those who anticipate investing in technology markets and must analyze firm strategy, and those who anticipate contracting with firms that do much of their business in these types of markets. Discussion questions, individual assignment, and final exam."""
Technology and Innovation Strategy,"""This course develops approaches to analyzing strategies within technology markets. It teaches students how to analyze technology markets, where firm structure, product cycles and competitive environment change rapidly. The course offers tools to analyzing both entrepreneurial and corporate innovation strategy. These issues are illustrated through general readings and with cases from computing, electronics, online, communication, and transportation markets. The course strikes a balance between presenting a few general models of market behavior and presenting a few key episodes of market behavior. It is aimed at three types of students: those who anticipate taking management positions in technology-intensive firms where they must formulate strategy, those who anticipate investing in technology markets and must analyze firm strategy, and those who anticipate contracting with firms that do much of their business in these types of markets. Discussion questions, individual assignment, and final exam."""
Strategic Challenges in Emerging Markets,"""Globalization presents central opportunities and challenges for business growth. Whether a firm seeks new markets for its products, lower-cost production opportunities, or high-yield investment vehicles, many of the most attractive opportunities internationally lie in \""emerging markets\"" in Asia, Latin America, Africa, and elsewhere. At the same time, these business environments present special risks and challenges.  Achieving competitive advantage in emerging markets depends on the firm\u0027s ability to manage the risks posed by weak legal systems, which limit the enforceability of contracts and property rights while amplifying the challenges of corruption, as well as managing through the macroeconomic, trade policy, and political regime shocks that regularly visit emerging market environments.  \r\n\r\nThis course provides toolkits and frameworks to successfully confront these challenges. The course will integrate numerous business examples with insights from the latest economics, business strategy, and political science research to provide the international business manager with a cutting-edge, integrated perspective on globalization and a set of strategic solutions to manage the most prevalent business risks in emerging markets."""
Analytics for Strategy,"""This course is an advanced analytics elective that uses data to inform strategic decisions. Should a fast food chain enter the highly profitable breakfast market segment? Not if the incumbents will respond by competing aggressively. Can a bank raise profits by attracting more customers through generous loan terms? Not if it inadvertently attracts risky customers. Data-driven analyses of such issues require going beyond statistically significant relationships (profitability in current market conditions, overall demand for generous loans) to assess underlying cause and effect. The course tackles a broad range of topics in competitive strategy, such as product portfolios (is it profitable to enter a rival\u0027s niche?), personnel (do workplace perks reduce absenteeism?), and cost reduction (is it profitable to adopt a new technology?). Students will learn through hands-on experience with performing advanced regression analyses and interpreting their results.\u003cB\u003eStudents who have not taken the pre-requisite, DECS 431 Business Analytics II, but have knowledge in regression and coding, can reach out to the instructor for a pre-requisite waiver \u003c/B\u003e"""
Strategies for Growth,"""\u003cp\u003eThis course is about effectively scaling a business.  Because growth is an imperative for many organizations, it is crucial to understand the strategic fundamentals underpinning profitable growth. Therefore, the course connects frameworks from economics and strategy to the experiences of firms attempting growth initiatives to illustrate why some businesses can scale successfully while others struggle.\u003c/p\u003e\r\n \r\n\u003cp\u003eThe cases and examples in this course will focus on \""middle-market\"" companies - organizations that are beyond the initial startup stage and are explicitly looking to expand their business.  The case materials include first-person accounts of the challenges of growth for these companies, as collected in interviews conducted during the research stage of the professor\u0027s \""\u003ca href=\""http://www.roadside-mba.com\"" target=\""_blank\""\u003eRoadside MBA\u003c/a\u003e.\""  The cases will be supplemented with discussions of strategy frameworks that can be used to extrapolate from experiences of these specific firms to general insights about growth and scaling.\u003c/p\u003e"""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Field Study,"""Field Studies include those opportunities outside of the regular curriculum in which a student is working with an outside company or non-profit organization to address a real-world business challenge for course credit under the oversight of a faculty member."""
Independent Study,"""Students who have established superior records and who wish to study a significant phase of administration in more depth than is provided in regular courses may register for independent study with a selected instructor. Permission of the instructor and department are required."""
Independent Study,"""Independent Study"""
Intl Practicum/Cross-Cultural Management Practice,"""\u003cB\u003eThis course was formerly known as MGMT 512-A\u003c/B\u003e\u003cBR\u003eIntl Practicum/Cross-Cultural Management Practice"""
Kellogg Internship,"""non-credit course for Kellogg students participating in an approved full-time internship"""
Kellogg Internship Half-Time,"""non-credit course for Kellogg students participating in an approved part-time  internship"""
Management General Credit,"""Management General Credit MGMT"""
Growth Strategy Practicum,"""While much media hype continues to focus on \""launching\"" new ventures, real value is created in actually \""growing\"" them. The Growth Strategy Practicum course is targeted at students who wish to develop their business execution skills by working on a real-life project with a growth-stage enterprise, putting their knowledge and skills to work to benefit an existing business.  The course will be especially beneficial to students who aspire to:\r\n\u003cul\u003e\r\n\u003cli\u003eJoin a fast-growing enterprise in a senior management role\u003c/li\u003e\r\n\u003cli\u003eAcquire an existing business with a view toward rapid enterprise value growth\u003c/li\u003e\r\n\u003cli\u003eExecute growth initiatives in the context of a family-owned business\u003c/li\u003e\r\n\u003c/ul\u003e\r\nStudent teams will be assigned to strategically-important projects with Chicago-area companies and will work with guidance from faculty and selected mentors.  Teams will meet with their clients three times (during class sessions) for collaboration, presentation, and feedback.  Other class sessions will be devoted to exploration of topics relevant to running a growing business, including strategy, finance, marketing, and team building."""
